iter	Passed	Remaining
409	4982	9601
410	4995	9590
411	5007	9577
412	5018	9562
413	5031	9552
414	5040	9534
415	5052	9521
416	5064	9508
417	5075	9494
418	5088	9484
419	5101	9474
420	5116	9467
421	5129	9456
422	5142	9445
423	5152	9430
424	5163	9415
425	5174	9402
426	5183	9383
427	5194	9369
428	5205	9355
429	5222	9351
430	5233	9338
431	5245	9325
432	5257	9312
433	5267	9297
434	5278	9283
435	5289	9268
436	5302	9257
437	5314	9246
438	5327	9235
439	5339	9222
440	5353	9213
441	5364	9199
442	5376	9186
443	5392	9181
444	5403	9167
445	5414	9154
446	5424	9138
447	5435	9123
448	5446	9109
449	5458	9097
450	5470	9085
451	5483	9074
452	5496	9064
453	5510	9054
454	5522	9042
455	5536	9032
456	5547	9018
457	5557	9003
458	5569	8991
459	5580	8977
460	5591	8963
461	5605	8954
462	5618	8942
463	5628	8927
464	5639	8914
465	5654	8906
466	5666	8894
467	5679	8882
468	5692	8871
469	5702	8857
470	5716	8847
471	5729	8836
472	5740	8823
473	5750	8808
474	5763	8796
475	5773	8781
476	5784	8767
477	5796	8755
478	5809	8743
479	5820	8731
480	5832	8717
481	5843	8705
482	5854	8690
483	5864	8675
484	5875	8662
485	5887	8649
486	5898	8635
487	5909	8622
488	5921	8610
489	5934	8598
490	5945	8584
491	5960	8577
492	5972	8564
493	5983	8551
494	5997	8541
495	6008	8528
496	6019	8515
497	6033	8505
498	6044	8491
499	6055	8478
500	6067	8465
501	6078	8451
502	6089	8437
503	6101	8425
504	6114	8414
505	6126	8402
506	6138	8390
507	6150	8377
508	6161	8364
509	6173	8351
510	6185	8340
511	6198	8329
512	6211	8318
513	6224	8307
514	6239	8298
515	6256	8293
516	6273	8287
517	6290	8281
518	6301	8267
519	6311	8253
520	6324	8241
521	6337	8231
522	6349	8218
523	6361	8207
524	6379	8201
525	6391	8190
526	6403	8177
527	6414	8164
528	6427	8152
529	6440	8141
530	6452	8129
531	6466	8119
532	6477	8106
533	6488	8092
534	6500	8080
535	6510	8065
536	6522	8052
537	6533	8039
538	6546	8028
539	6557	8015
540	6562	7993
541	6573	7980
542	6587	7970
543	6600	7958
544	6610	7944
545	6621	7931
546	6632	7917
547	6642	7902
548	6655	7892
549	6671	7884
550	6685	7874
551	6697	7862
552	6708	7849
553	6720	7836
554	6733	7825
555	6746	7814
556	6757	7800
557	6770	7789
558	6782	7777
559	6794	7764
560	6805	7752
561	6817	7739
562	6826	7724
563	6839	7712
564	6852	7701
565	6865	7690
566	6878	7678
567	6894	7671
568	6904	7657
569	6925	7654
570	6936	7640
571	6947	7627
572	6957	7613
573	6967	7598
574	6978	7585
575	6991	7574
576	7005	7563
577	7017	7551
578	7029	7539
579	7040	7526
580	7051	7513
581	7062	7498
582	7075	7488
583	7087	7475
584	7099	7463
585	7110	7450
586	7122	7437
587	7140	7432
588	7152	7420
589	7155	7398
590	7167	7386
591	7180	7374
592	7192	7361
593	7202	7348
594	7217	7338
595	7229	7326
596	7242	7315
597	7257	7305
598	7270	7294
599	7286	7286
600	7299	7275
601	7311	7262
602	7322	7250
603	7334	7237
604	7345	7224
605	7358	7213
606	7374	7204
607	7387	7193
608	7400	7181
609	7412	7169
610	7423	7156
611	7436	7144
612	7454	7138
613	7477	7136
614	7507	7141
615	7535	7143
616	7551	7135
617	7575	7134
618	7604	7137
619	7616	7125
620	7628	7112
621	7639	7099
622	7651	7086
623	7664	7074
624	7676	7062
625	7685	7047
626	7698	7035
627	7711	7023
628	7725	7013
629	7739	7002
630	7751	6990
631	7761	6975
632	7774	6963
633	7787	6952
634	7806	6946
635	7834	6947
636	7856	6943
637	7867	6930
638	7877	6916
639	7889	6903
640	7900	6889
641	7912	6877
642	7923	6863
643	7934	6850
644	7944	6836
645	7955	6822
646	7967	6809
647	7981	6799
648	7993	6786
649	8008	6776
650	8034	6775
651	8056	6771
652	8068	6758
653	8078	6744
654	8090	6731
655	8101	6718
656	8111	6704
657	8124	6692
658	8137	6680
659	8148	6666
660	8158	6652
661	8169	6638
662	8180	6625
663	8191	6612
664	8205	6601
665	8219	6590
666	8231	6578
667	8244	6565
668	8264	6559
669	8286	6555
670	8298	6542
