iter	RMSE
179	2214.586415
180	2208.386266
181	2205.692593
182	2201.995889
183	2196.547459
184	2194.019273
185	2190.402427
186	2189.458026
187	2185.731224
188	2181.588791
189	2179.237565
190	2174.352393
191	2170.176935
192	2166.959393
193	2165.003395
194	2164.217907
195	2164.177626
196	2162.159193
197	2159.566248
198	2159.509238
199	2159.470991
200	2157.07428
201	2156.82388
202	2154.349359
203	2152.990182
204	2151.599242
205	2150.984821
206	2148.876782
207	2145.986118
208	2142.480181
209	2139.465736
210	2137.43074
211	2135.536068
212	2132.906873
213	2130.301792
214	2128.057642
215	2124.988744
216	2122.38276
217	2119.50667
218	2117.472673
219	2115.617189
220	2112.965434
221	2109.725101
222	2106.585113
223	2104.641496
224	2101.579344
225	2098.023012
226	2096.619421
227	2090.41988
228	2087.204116
229	2085.70334
230	2082.373612
231	2080.551745
232	2077.762061
233	2073.957499
234	2072.671246
235	2071.824115
236	2070.532943
237	2068.766044
238	2065.260811
239	2062.296122
240	2060.200199
241	2058.869012
242	2058.806059
243	2056.148611
244	2054.79848
245	2054.205327
246	2051.839068
247	2049.213995
248	2048.002736
249	2045.51423
250	2045.4476
251	2043.352378
252	2039.123081
253	2037.328759
254	2035.196566
255	2033.902144
256	2031.679165
257	2030.038919
258	2028.027939
259	2025.554658
260	2022.970399
261	2019.899946
262	2017.731399
263	2015.783425
264	2015.414246
265	2015.25626
266	2012.402031
267	2010.571022
268	2010.389642
269	2006.339543
270	2002.969592
271	1999.109487
272	1996.033223
273	1992.797954
274	1991.134725
275	1989.90209
276	1987.565727
277	1987.434522
278	1985.96865
279	1983.106592
280	1982.073372
281	1981.019526
282	1979.383281
283	1977.73471
284	1976.740451
285	1975.611507
286	1974.813686
287	1974.567997
288	1972.325967
289	1971.791879
290	1969.015513
291	1964.576873
292	1962.348932
293	1959.889205
294	1956.523755
295	1950.746742
296	1949.142437
297	1946.25334
298	1943.780451
299	1943.142152
300	1941.071372
301	1939.415882
302	1937.943013
303	1936.08411
304	1935.034863
305	1932.781061
306	1930.173048
307	1929.84542
308	1927.980591
309	1925.363468
310	1924.667363
311	1922.946789
312	1920.302881
313	1917.800934
314	1913.467095
315	1909.222212
316	1908.96842
317	1907.198375
318	1906.354559
319	1904.628536
320	1904.543197
321	1899.715021
322	1896.606448
323	1896.375884
324	1893.573836
325	1890.342826
326	1887.674583
327	1885.458991
328	1885.219584
329	1881.623003
330	1881.522333
331	1878.463273
332	1874.869746
333	1872.06188
334	1868.663533
335	1866.795139
336	1864.985658
337	1861.934135
338	1859.618901
339	1856.894153
340	1856.763122
341	1854.857512
342	1852.769433
343	1851.567538
344	1849.197572
345	1849.05267
346	1846.721856
347	1844.57509
348	1844.294751
349	1841.72395
350	1839.271753
351	1836.149439
352	1834.277759
353	1832.011368
354	1830.744591
355	1828.866132
356	1828.615431
357	1825.252893
358	1823.816413
359	1822.957622
360	1819.336302
361	1817.819
362	1813.958085
363	1813.636879
364	1811.750627
365	1810.474958
366	1810.264629
367	1807.631847
368	1805.722531
369	1802.92809
370	1801.584899
371	1798.729695
372	1798.198564
373	1797.22516
374	1796.742972
375	1796.630324
376	1793.729442
377	1792.36504
378	1791.160334
379	1789.325054
380	1789.252228
381	1787.247412
382	1784.505679
383	1780.650557
384	1780.591799
385	1778.721247
386	1776.128568
387	1775.484127
388	1774.292961
389	1774.246813
390	1773.426343
391	1769.410646
392	1768.688722
393	1765.907807
394	1765.712181
395	1763.774312
396	1763.699484
397	1760.557586
398	1758.702989
399	1755.965353
400	1755.877966
401	1754.747868
402	1754.039139
403	1751.455016
404	1748.448612
405	1747.673441
406	1745.634984
407	1744.388767
408	1742.994297
409	1740.841861
410	1738.761911
411	1736.40986
412	1735.474699
413	1733.459491
414	1733.354377
415	1732.006867
416	1730.622546
417	1730.479058
418	1729.53313
419	1727.830997
420	1725.395839
421	1724.338176
422	1723.189656
423	1723.149098
424	1722.776045
425	1722.643867
426	1721.284414
427	1721.122116
428	1720.002756
429	1717.533425
430	1715.925254
431	1713.761164
432	1713.60438
433	1711.947877
434	1710.881872
435	1710.393756
436	1707.159042
437	1704.248105
438	1702.044216
439	1701.979653
440	1700.117256
441	1699.119304
442	1699.029388
443	1698.957674
444	1698.131978
445	1696.356474
446	1696.064034
447	1693.555366
448	1692.620001
449	1691.802228
450	1690.927036
451	1688.964716
452	1687.675391
453	1686.369096
454	1685.110054
455	1682.656859
456	1681.813806
457	1679.950886
458	1678.120695
459	1676.35515
460	1673.95369
461	1670.958197
462	1670.340576
463	1669.905352
464	1667.209522
465	1665.96877
466	1663.410501
467	1662.060491
468	1660.904495
469	1660.612187
470	1659.8992
471	1659.581277
472	1656.775911
473	1655.313966
474	1654.428065
475	1650.986883
476	1649.40746
477	1648.444002
478	1645.95423
479	1644.034101
480	1642.348416
481	1641.037349
482	1640.31184
483	1636.986155
484	1636.412087
485	1635.394411
486	1633.683933
487	1629.861578
488	1627.34983
489	1626.816108
490	1625.348168
491	1625.102887
492	1622.990367
493	1620.35431
494	1618.400048
495	1615.165983
496	1614.902164
497	1614.242848
498	1612.899844
499	1612.279889
500	1610.73913
501	1608.486168
502	1607.871831
503	1605.287003
504	1604.007334
505	1602.686253
506	1601.682447
507	1600.667861
508	1598.403508
509	1595.420835
510	1594.399783
511	1592.292061
512	1591.836684
513	1589.605346
514	1588.039523
515	1587.553187
516	1586.622321
517	1585.161281
518	1584.522363
519	1583.150115
520	1581.725063
521	1581.621015
522	1581.206903
523	1579.890771
524	1578.414302
525	1577.278051
526	1573.604359
527	1571.15121
528	1571.109984
529	1571.057717
530	1568.66372
531	1565.032543
532	1562.880704
533	1561.945823
534	1560.459697
535	1559.06971
536	1557.929779
537	1557.734092
538	1555.952033
539	1555.804621
540	1555.748848
541	1554.842518
542	1552.878923
543	1551.221917
544	1549.756231
545	1548.837868
546	1546.039412
547	1543.519978
548	1541.633839
549	1537.455515
550	1536.553586
551	1533.589306
552	1531.370428
553	1530.322488
554	1529.84098
555	1528.094515
556	1525.761662
557	1522.887718
558	1520.954999
559	1518.012255
560	1516.235778
561	1515.305804
562	1511.428694
563	1511.36458
564	1510.638242
565	1509.314671
566	1508.15357
567	1505.326032
568	1503.700378
569	1501.613763
570	1499.146612
571	1496.481577
572	1494.69641
573	1492.154581
574	1492.098976
575	1491.753842
576	1491.092483
577	1489.832436
578	1488.715138
579	1488.254483
580	1486.04818
581	1484.678701
582	1484.16512
583	1484.034751
584	1483.316257
585	1481.006927
586	1479.126734
587	1477.731406
588	1476.837738
589	1476.760956
590	1476.246401
591	1474.582513
592	1472.941297
593	1471.330693
594	1469.61463
595	1468.868822
596	1467.431646
597	1464.923791
598	1464.290573
599	1462.972502
600	1461.582221
601	1459.458111
602	1458.044263
603	1456.015221
604	1455.222719
605	1454.454553
606	1453.72767
607	1451.542271
608	1450.334908
609	1449.959139
610	1449.582136
611	1446.191327
612	1446.053683
613	1445.760435
614	1444.512303
615	1443.316214
616	1441.562212
617	1438.952987
618	1437.662436
619	1434.337678
620	1432.935748
621	1432.058429
622	1431.310724
623	1429.100678
624	1428.231629
625	1427.159595
626	1426.70783
627	1426.024659
628	1424.881188
629	1423.716269
630	1421.937575
631	1421.218835
632	1419.973393
633	1418.758973
634	1417.268024
635	1416.165703
636	1415.032377
637	1412.78691
638	1410.843073
639	1409.215594
640	1406.939329
641	1404.610135
642	1403.175291
643	1402.046866
644	1399.256763
645	1395.95415
646	1394.651354
647	1394.097048
648	1393.041962
649	1391.806738
650	1390.554488
651	1389.154338
652	1388.852045
653	1387.110537
654	1386.977352
655	1384.599476
656	1381.956337
657	1380.23815
658	1379.180549
659	1378.122054
660	1377.993489
661	1377.088264
662	1374.664012
663	1371.593437
664	1370.822719
665	1369.895181
666	1368.730503
667	1367.261488
668	1366.237356
669	1364.666484
670	1364.201256
671	1363.119772
672	1360.133616
673	1359.556536
674	1358.692902
675	1357.54687
676	1354.367342
677	1353.939531
678	1352.898324
679	1351.180414
680	1348.780266
681	1348.42614
682	1347.382228
683	1347.062673
684	1344.981162
685	1342.971304
686	1341.835683
687	1338.537991
688	1337.356334
689	1336.964236
690	1336.334662
691	1335.220651
692	1333.160037
693	1331.209314
694	1329.668592
695	1325.976345
696	1324.848797
697	1324.138891
698	1321.576303
699	1321.247269
700	1319.57135
701	1318.099671
702	1316.777748
703	1315.800845
704	1315.277679
705	1314.506016
706	1312.855937
707	1312.001991
708	1309.281537
709	1308.418473
710	1306.431726
711	1304.326213
712	1303.89983
713	1302.471906
714	1301.831422
715	1300.438007
716	1298.543537
717	1297.228122
718	1294.472979
719	1292.417558
720	1291.348417
721	1290.587652
722	1288.200317
723	1286.399111
724	1284.799821
725	1283.533602
726	1282.89232
727	1281.536747
728	1280.973805
729	1279.669981
730	1279.044038
731	1278.626077
732	1277.556957
733	1275.179367
734	1272.070348
735	1270.766501
736	1270.060751
737	1266.655635
738	1266.538416
739	1265.895542
740	1264.969649
741	1261.714622
742	1260.892099
743	1258.715304
744	1257.820087
745	1257.116347
746	1256.278928
747	1255.950407
748	1253.465078
749	1252.584794
750	1250.124582
751	1248.455926
752	1247.970505
753	1247.901212
754	1247.07077
755	1246.2613
756	1245.887515
757	1244.385828
758	1243.444886
759	1242.71354
760	1242.22822
761	1241.510336
762	1240.401172
763	1239.389091
764	1238.931226
765	1237.418299
766	1236.104569
767	1233.635398
768	1232.896941
769	1230.963553
770	1230.207356
771	1229.598037
772	1227.539893
773	1225.260863
774	1224.742928
775	1223.675298
776	1222.004401
777	1221.904877
778	1220.689691
779	1217.915802
780	1217.549189
781	1216.286454
782	1213.305787
783	1212.601921
784	1211.975913
785	1211.689315
786	1211.534165
787	1210.832333
788	1209.158996
789	1207.204852
790	1206.326822
791	1204.590661
792	1203.306874
793	1202.413265
794	1200.879201
795	1200.276019
796	1199.141815
797	1197.256461
798	1195.952869
799	1195.018512
800	1194.311857
801	1192.990877
802	1192.332387
803	1190.453445
804	1189.124115
805	1187.561025
806	1187.501543
807	1185.516031
808	1185.056485
809	1183.196773
810	1181.051859
811	1179.707467
812	1177.982038
813	1177.311734
814	1175.788938
815	1174.825165
816	1173.429906
817	1171.582329
818	1169.778124
819	1169.69058
820	1168.099024
821	1166.99118
822	1165.59245
823	1164.866843
824	1163.954888
825	1162.404681
826	1161.701245
827	1161.167347
828	1160.455798
829	1159.617072
830	1159.141036
831	1158.498683
832	1157.419473
833	1156.883685
834	1154.807045
835	1154.194337
836	1153.288876
837	1152.699097
838	1151.61325
839	1151.246363
840	1150.704195
841	1150.013945
842	1149.374662
843	1147.938023
844	1147.426263
845	1147.246491
846	1145.001682
847	1142.563589
848	1141.50549
849	1139.104649
850	1138.590929
851	1137.611215
852	1136.718737
853	1134.478203
854	1131.629782
855	1130.550658
856	1129.150411
857	1127.411726
858	1126.199086
859	1125.391856
860	1123.429638
861	1121.976172
862	1120.939173
863	1120.137295
864	1119.72829
865	1119.252279
866	1118.744083
867	1117.113573
868	1115.783141
869	1112.978247
870	1111.597713
871	1109.951346
872	1109.296599
873	1108.289074
874	1107.575679
875	1107.442852
876	1106.433329
877	1105.297153
878	1102.848912
879	1101.970465
880	1100.438607
881	1099.509289
882	1098.379862
883	1097.845615
884	1096.13045
885	1095.98491
886	1095.171572
887	1094.431087
888	1093.920941
889	1093.159325
890	1092.044321
891	1090.77606
892	1090.07927
893	1089.654552
894	1089.501064
895	1088.687627
896	1087.537776
897	1086.727769
898	1085.756501
899	1084.490189
900	1083.720755
901	1082.662023
902	1081.717374
903	1081.389347
904	1079.987142
905	1078.795256
906	1078.090076
907	1077.574649
908	1076.56851
909	1075.406275
910	1075.147424
911	1074.284805
912	1073.564927
913	1072.68762
914	1072.15768
915	1071.292784
916	1069.906505
917	1069.302156
918	1068.490174
919	1067.72386
920	1066.046194
921	1065.258228
922	1064.643143
923	1063.246109
924	1062.899826
925	1061.643656
926	1060.639367
927	1059.213493
928	1057.414022
929	1054.959538
930	1054.619064
931	1053.856146
932	1052.53889
933	1050.360641
934	1049.462742
935	1048.353701
936	1047.52351
937	1046.855692
938	1045.84523
939	1044.268095
940	1043.680543
941	1041.894791
942	1041.531988
943	1040.801067
944	1038.491849
945	1037.462342
946	1036.88595
947	1036.648702
948	1034.289937
949	1033.823595
950	1033.303058
951	1031.2819
952	1029.738947
953	1029.125234
954	1026.893206
955	1026.148825
956	1024.32142
957	1023.339438
958	1022.122738
959	1021.221613
960	1020.418547
961	1019.412111
962	1018.970384
963	1018.7246
964	1018.583074
965	1018.34486
966	1017.549152
967	1016.157405
968	1013.818228
969	1013.176659
970	1012.410799
971	1010.109524
972	1009.189929
973	1007.048987
974	1005.919187
975	1004.960485
976	1002.799725
977	1001.809239
978	1000.842422
979	999.0110984
980	998.7304401
981	998.1419102
982	997.6372327
983	996.7958061
984	995.3994757
985	994.7679758
986	994.5452258
987	993.3229905
988	991.7203513
989	989.6196246
990	989.0977331
991	987.2341757
992	986.5853514
993	985.7770189
994	985.0325784
995	982.1360958
996	980.72805
997	979.4183149
998	977.7494115
999	977.2840491
1000	976.7083756
1001	974.588757
1002	974.3674812
1003	973.1600002
1004	972.6284874
1005	971.6893748
1006	970.9570038
1007	969.9060277
1008	968.3913432
1009	967.205372
1010	966.1686334
1011	965.8367793
1012	962.7944972
1013	961.6662915
1014	961.0860107
1015	960.5925646
1016	959.7298413
1017	957.1744045
1018	956.3060271
1019	955.6544161
1020	954.8070244
1021	952.7359088
1022	951.4836806
1023	950.649273
1024	949.8309579
1025	949.5462543
1026	948.4989378
1027	948.2164851
1028	945.3349539
1029	944.982513
1030	944.4390496
1031	943.0124658
1032	942.0419623
1033	941.2437326
1034	940.232396
1035	938.8053732
1036	938.0337852
1037	937.8175861
1038	937.438119
1039	936.4404331
1040	935.6415644
1041	934.8797788
1042	934.1906704
1043	931.3787859
1044	930.7313318
1045	929.669349
1046	926.8525426
1047	926.0048345
1048	922.7213916
1049	922.4848506
1050	922.1001475
1051	920.3794462
1052	920.0269506
1053	918.4376864
1054	917.4480771
1055	916.6992725
1056	916.3069713
1057	915.969993
1058	915.6641098
1059	914.9797564
1060	913.6373066
1061	912.5404345
1062	910.2506103
1063	909.2210298
1064	907.2670989
1065	905.459767
1066	903.3779177
1067	903.034809
1068	901.9456861
1069	901.4536448
1070	900.5422762
1071	899.6918825
1072	898.9029503
1073	897.9574353
1074	895.6268695
1075	894.8283532
1076	894.1322213
1077	893.3553073
1078	892.945232
1079	892.4858781
1080	891.992594
1081	889.866966
1082	888.3630674
1083	887.8700765
1084	886.9876462
1085	886.0069756
1086	885.2510517
1087	885.1371033
1088	884.6256732
1089	883.0481862
1090	882.2628524
1091	881.6056362
1092	879.5166783
1093	879.1719667
1094	878.6882363
1095	877.074776
1096	876.5957874
1097	874.8377361
1098	874.3342912
1099	874.1596129
1100	873.7784142
1101	873.3969853
1102	872.0231796
1103	870.3948036
1104	869.2122619
1105	868.7298633
1106	868.002197
1107	867.7448001
1108	867.2033049
1109	867.0549619
1110	865.0096881
1111	864.5227451
1112	861.950823
1113	860.8571255
1114	859.4220717
1115	858.9790856
1116	857.7054868
1117	857.1349136
1118	855.9208902
1119	855.1229899
1120	854.2267949
1121	853.1376201
1122	852.0755964
1123	849.556722
1124	848.2428576
1125	847.0617905
1126	846.4685419
1127	844.6175232
1128	843.5222538
1129	843.2343227
1130	842.3414105
1131	840.9534858
1132	840.0862219
1133	839.3515271
1134	838.5996111
1135	836.5867483
1136	835.2597319
1137	834.2565793
1138	833.7652038
1139	833.0786825
1140	832.4334034
1141	832.0100252
1142	831.5739975
1143	829.8994257
1144	829.3295274
1145	828.7235892
1146	827.7732761
1147	827.3137649
1148	827.0217642
1149	826.0279883
1150	825.5379315
1151	822.9817311
1152	821.5864809
1153	820.5866536
1154	820.4383279
1155	819.7627824
1156	819.6794938
1157	819.6361978
1158	818.7107208
1159	817.9240377
1160	817.3003689
1161	816.7764188
1162	816.2506739
1163	815.3554561
1164	815.1639335
1165	813.2000374
1166	812.9319852
1167	812.1438003
1168	811.4970388
1169	810.7433196
1170	808.3162295
1171	807.4896535
1172	807.3369273
1173	805.6018815
1174	804.8774052
1175	803.5274953
1176	802.4936853
1177	802.0751659
1178	801.6761461
1179	801.2946735
1180	801.0432476
1181	800.6574416
1182	800.353181
1183	798.6469469
1184	797.4623751
1185	797.3273717
1186	796.9970865
1187	795.8590778
1188	794.5769304
1189	793.9434973
1190	793.6348946
1191	792.7010298
1192	792.1521754
1193	791.7128089
1194	791.301507
1195	791.0210939
1196	790.4142701
1197	789.4374057
1198	788.9776567
1199	788.5857488
